,Features
527,R_parsorbitalis_gauscurv
528,R_parstriangularis_gauscurv
529,R_pericalcarine_gauscurv
530,R_postcentral_gauscurv
531,R_posteriorcingulate_gauscurv
532,R_precentral_gauscurv
533,R_precuneus_gauscurv
534,R_rostralanteriorcingulate_gauscurv
535,R_rostralmiddlefrontal_gauscurv
536,R_superiorfrontal_gauscurv
537,R_superiorparietal_gauscurv
538,R_superiortemporal_gauscurv
539,R_supramarginal_gauscurv
540,R_frontalpole_gauscurv
541,R_temporalpole_gauscurv
542,R_transversetemporal_gauscurv
543,R_insula_gauscurv
544,R_bankssts_foldind
545,R_caudalanteriorcingulate_foldind
546,R_caudalmiddlefrontal_foldind
547,R_cuneus_foldind
548,R_entorhinal_foldind
549,R_fusiform_foldind
550,R_inferiorparietal_foldind
551,R_inferiortemporal_foldind
552,R_isthmuscingulate_foldind
553,R_lateraloccipital_foldind
554,R_lateralorbitofrontal_foldind
555,R_lingual_foldind
556,R_medialorbitofrontal_foldind
557,R_middletemporal_foldind
558,R_parahippocampal_foldind
559,R_paracentral_foldind
560,R_parsopercularis_foldind
561,R_parsorbitalis_foldind
562,R_parstriangularis_foldind
563,R_pericalcarine_foldind
564,R_postcentral_foldind
565,R_posteriorcingulate_foldind
566,R_precentral_foldind
567,R_precuneus_foldind
568,R_rostralanteriorcingulate_foldind
569,R_rostralmiddlefrontal_foldind
570,R_superiorfrontal_foldind
571,R_superiorparietal_foldind
572,R_superiortemporal_foldind
573,R_supramarginal_foldind
574,R_frontalpole_foldind
575,R_temporalpole_foldind
576,R_transversetemporal_foldind
577,R_insula_foldind
578,R_bankssts_curvind
579,R_caudalanteriorcingulate_curvind
580,R_caudalmiddlefrontal_curvind
581,R_cuneus_curvind
582,R_entorhinal_curvind
583,R_fusiform_curvind
584,R_inferiorparietal_curvind
585,R_inferiortemporal_curvind
586,R_isthmuscingulate_curvind
587,R_lateraloccipital_curvind
588,R_lateralorbitofrontal_curvind
589,R_lingual_curvind
590,R_medialorbitofrontal_curvind
591,R_middletemporal_curvind
592,R_parahippocampal_curvind
593,R_paracentral_curvind
594,R_parsopercularis_curvind
595,R_parsorbitalis_curvind
596,R_parstriangularis_curvind
597,R_pericalcarine_curvind
598,R_postcentral_curvind
599,R_posteriorcingulate_curvind
600,R_precentral_curvind
601,R_precuneus_curvind
602,R_rostralanteriorcingulate_curvind
603,R_rostralmiddlefrontal_curvind
604,R_superiorfrontal_curvind
605,R_superiorparietal_curvind
606,R_superiortemporal_curvind
607,R_supramarginal_curvind
608,R_frontalpole_curvind
609,R_temporalpole_curvind
610,R_transversetemporal_curvind
611,R_insula_curvind
612,LThickness
613,RThickness
614,LSurfArea
615,RSurfArea
616,ICV
